theme,date,view,num
['闽江学院2021下半年度高层次人才招聘公告'],['2021-11-29'],['44'],['0']
['苏州系统医学研究所2021-2022年招聘'],['2021-11-29'],['46'],['0']
['江苏科技大学2021年诚聘海内外优秀人才'],['2021-11-29'],['48'],['0']
['深圳大学食品科学与加工研究中心吴奇院士团队招聘博士后公告'],['2021-11-29'],['33'],['0']
['西安外事学院2021年人才招聘公告'],['2021-11-29'],['56'],['0']
['山东电力设备有限公司2022届高校毕业生招聘简章'],['2021-11-29'],['49'],['0']
['中国贸促会专商所2022年度校园招聘'],['2021-11-29'],['36'],['0']
['信阳师范学院2021年诚聘海内外优秀人才公告'],['2021-11-29'],['40'],['0']
['粤港澳大湾区重要节点城市——惠州学院2021年招聘专任教师（博士、硕士）'],['2021-11-27'],['90'],['0']
['云南电网有限责任公司2022年博招聘'],['2021-11-27'],['129'],['0']
['南宁师范大学2021年公开招聘博士公告'],['2021-11-27'],['74'],['0']
['重庆两江新区-千名硕博汇两江引才活动'],['2021-11-27'],['237'],['0']
['光大云缴费科技有限公司2022年秋季 校园招聘启事'],['2021-11-26'],['120'],['0']
['中国船舶第七〇七研究所2022届毕业生招聘'],['2021-11-26'],['309'],['0']
['2022年海淀进校教育集团招聘'],['2021-11-26'],['90'],['0']
['深圳大学广东省海洋藻类开发与应用工程重点实验室博士后招聘'],['2021-11-26'],['59'],['0']
['台州学院高等研究院——智能信息处理研究所招聘启事'],['2021-11-26'],['71'],['0']
